taxon,lineage,conflict,pangoLEARN_version,pango_version,status,note
MG0987,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
PC00101P,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0007-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0016-SAN,B,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0017-SAN,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0032-JOR,B.1.319,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0033-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0034-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0035-JOR,B.35,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0036-JOR,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0037-JOR,B.28,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0039-JOR,A.5,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0041-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0042-JOR,B.35,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0043-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0044-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0045-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0046-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0047-JOR,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0048-JOR,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0049-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0051-JOR,B.28,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0052-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0053-JOR,B.35,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0054-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0055-JOR,B.1.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0056-JOR,B.28,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0057-JOR,B.28,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0058-NBG,B.1.595,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0059-NBG,B.1.590,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0060-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0063-NBG,B.1.590,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0064-NBG,B.1.577,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0065-NBG,B.1.590,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0066-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0067-NBG,B.1.595,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0068-NBG,B.1.595,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0069-NBG,B.1.595,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0070-NBG,B.1.595,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0071-NBG,B.1.590,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0072-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0075-NBG,B.1.595,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0076-NBG,B.1.595,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0077-NBG,B.1.595,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0078-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0084-JOR,B.40,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0094-SAN,B.1.166,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0095-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0096-SAN,B.1.166,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0097-SAN,A.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0098-SAN,B.1.314,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0099-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0100-SAN,A.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0103-SAN,A.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0104-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0106-SAN,A.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0107-SAN,A.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0108-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0111-SAN,B.1.586,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0113-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0114-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0115-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0116-SAN,B.1.166,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0117-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0118-SAN,B.4,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0119-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0120-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0121-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0122-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0128-SAN,B.1.166,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0130-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0132-SAN,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0135-SAN,B.1.166,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0136-SAN,B.1.314,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0140-NBG,B.1.590,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0141-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0142-NBG,B.1.577,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0143-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0144-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0145-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0146-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0147-NBG,B.1.577,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0148-NBG,B.1.577,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0149-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0150-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0151-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0152-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
SEARCH-0153-NBG,B.1,0.0,2021-04-28,v1.1.23,passed_qc,
